,,,
"Mulai dari nol, tanpa koneksi kuat",Titik Awal,,Sudah punya jaringan elite sejak lahir
"Apply lewat platform seperti JobStreet,
LinkedIn, Kalibrr, Glints",Cara Cari Kerja,,"Dapat info dari orang tua, relasi bisnis, atau
langsung ditawari"
"Kirim puluhan–ratusan CV, ikut tes online,
psikotes, interview berlapis",Proses Masuk Kerja,,"Tidak perlu seleksi formal, langsung
masuk lewat rekomendasi"
"Magang tidak dibayar / kerja kontrak
pendek",Pengalaman Awal,,"Langsung dapat posisi strategis atau
proyek penting"
"Staff junior, admin, sales, atau kerja
informal",Posisi Awal Karier,,"Komisaris muda, project manager, advisor,
atau posisi “strategic role”"
"Bergantung pada info publik (lowongan
online, job fair)",Akses Informasi,,"Akses info internal: proyek, investasi,
peluang bisnis"
"Sangat tinggi (ribuan pelamar untuk satu
posisi)",Tekanan Kompetisi,,"Rendah, karena akses terbatas pada
jaringan tertentu"
"UMR atau di bawah UMR, kadang
freelance tidak stabil",Pendapatan Awal,,"Jauh di atas rata-rata, bahkan tanpa
pengalaman panjang"
"Kerja serabutan, freelance, atau jadi ojol",Strategi Bertahan,,"Fokus membangun portofolio
bisnis/jaringan"
"Tinggi: mudah di-PHK, kontrak habis, tidak
diperpanjang",Risiko Karier,,"Rendah: dilindungi jaringan dan aset
keluarga"
"Lambat, butuh waktu lama untuk naik
kelas",Mobilitas Sosial,,"Cepat, karena akses modal dan peluang
besar"
Sulit dapat modal usaha atau kredit,Akses Modal,,"Mudah akses investor, bank, atau modal
keluarga"
"Bangun dari nol, ikut seminar/job fair","Jaringan
(Networking)",,"Sudah terhubung dengan pejabat, CEO,
politisi"
"Harus kerja lebih keras untuk hasil yang
belum pasti",Makna “Kerja Keras”,,"Kerja keras mempercepat, tapi bukan
penentu utama"
"Apply 100+ lowongan, sering tidak
dipanggil",Realita Lapangan,,"Tidak pernah “apply kerja” dalam arti
formal"
"Sulit beli rumah, menabung, atau investasi","Dampak
Jangka Panjang",,Bisa akumulasi aset sejak muda
Terdorong ke bawah oleh ketimpangan,Struktur Sistem,,Diuntungkan oleh sistem oligarkis
